tactic,technique,subtechnique,Detection
Credential Access,OS Credential Dumping,Proc Filesystem,"DS0022,DS0017"
Credential Access,OS Credential Dumping,Security Account Manager,"DS0024,DS0022,DS0017"
Credential Access,Steal Application Access Token,,"DS0002,DS0026"
Credential Access,Steal Web Session Cookie,,"DS0009,DS0022"
Credential Access,Steal or Forge Authentication Certificates,,"DS0024,DS0028,DS0022,DS0017,DS0015,DS0026"
Credential Access,Steal or Forge Kerberos Tickets,,"DS0028,DS0022,DS0017,DS0026"
Credential Access,Steal or Forge Kerberos Tickets,AS-REP Roasting,DS0026
Credential Access,Steal or Forge Kerberos Tickets,Ccache Files,DS0022
Credential Access,Steal or Forge Kerberos Tickets,Golden Ticket,"DS0028,DS0026"
Credential Access,Steal or Forge Kerberos Tickets,Kerberoasting,DS0026
Credential Access,Steal or Forge Kerberos Tickets,Silver Ticket,DS0028
Credential Access,Unsecured Credentials,,"DS0024,DS0002,DS0009,DS0022,DS0017,DS0015"
Credential Access,Unsecured Credentials,Bash History,"DS0022,DS0017"
Credential Access,Unsecured Credentials,Chat Messages,DS0015
Credential Access,Unsecured Credentials,Cloud Instance Metadata API,DS0002
Credential Access,Unsecured Credentials,Container API,"DS0002,DS0017"
Credential Access,Unsecured Credentials,Credentials In Files,"DS0009,DS0022,DS0017"
Credential Access,Unsecured Credentials,Credentials in Registry,"DS0024,DS0009,DS0017"
Credential Access,Unsecured Credentials,Group Policy Preferences,"DS0022,DS0017"
Credential Access,Unsecured Credentials,Private Keys,"DS0022,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,,"DS0024,DS0002,DS0009,DS0022,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,Bypass User Account Control,"DS0024,DS0009,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,Elevated Execution with Prompt,DS0009
Defense Evasion,Abuse Elevation Control Mechanism,Setuid and Setgid,"DS0022,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,Sudo and Sudo Caching,"DS0009,DS0022,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,TCC Manipulation,"DS0009,DS0022,DS0017"
Defense Evasion,Abuse Elevation Control Mechanism,Temporary Elevated Cloud Access,DS0002
Defense Evasion,Access Token Manipulation,,"DS0002,DS0009,DS0017,DS0026"
Defense Evasion,Access Token Manipulation,Create Process with Token,"DS0009,DS0017"
Defense Evasion,Access Token Manipulation,Make and Impersonate Token,"DS0009,DS0017"
Defense Evasion,Access Token Manipulation,Parent PID Spoofing,DS0009
Defense Evasion,Access Token Manipulation,SID-History Injection,"DS0002,DS0009,DS0026"
Defense Evasion,Access Token Manipulation,Token Impersonation/Theft,"DS0009,DS0017"
Defense Evasion,BITS Jobs,,"DS0019,DS0009,DS0029,DS0017"
Defense Evasion,Build Image on Host,,"DS0029,DS0007"
Defense Evasion,Deobfuscate/Decode Files or Information,,"DS0012,DS0009,DS0022"
Defense Evasion,Deploy Container,,"DS0014,DS0032,DS0015"
Defense Evasion,Direct Volume Access,,"DS0022,DS0016,DS0017"
Defense Evasion,Domain or Tenant Policy Modification,,"DS0017,DS0015,DS0026"
Defense Evasion,Domain or Tenant Policy Modification,Group Policy Modification,"DS0017,DS0026"
Defense Evasion,Domain or Tenant Policy Modification,Trust Modification,"DS0017,DS0015,DS0026"
Defense Evasion,Email Spoofing,,DS0015
Defense Evasion,Execution Guardrails,,"DS0009,DS0017"
Defense Evasion,Execution Guardrails,Environmental Keying,"DS0009,DS0017"
Defense Evasion,Execution Guardrails,Mutual Exclusion,"DS0009,DS0022"
Defense Evasion,Exploitation for Defense Evasion,,"DS0009,DS0015"
Defense Evasion,File and Directory Permissions Modification,,"DS0009,DS0022,DS0017,DS0026"
Defense Evasion,File and Directory Permissions Modification,Linux and Mac File and Directory Permissions Modification,"DS0009,DS0022,DS0017"
Defense Evasion,File and Directory Permissions Modification,Windows File and Directory Permissions Modification,"DS0009,DS0022,DS0017,DS0026"
Defense Evasion,Hide Artifacts,,"DS0024,DS0002,DS0019,DS0012,DS0009,DS0001,DS0022,DS0017,DS0015"
Defense Evasion,Hide Artifacts,Bind Mounts,"DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Email Hiding Rules,"DS0022,DS0017,DS0015"
Defense Evasion,Hide Artifacts,Extended Attributes,"DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,File/Path Exclusions,DS0022
Defense Evasion,Hide Artifacts,Hidden File System,"DS0024,DS0001,DS0022"
Defense Evasion,Hide Artifacts,Hidden Files and Directories,"DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Hidden Users,"DS0024,DS0002,DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Hidden Window,"DS0024,DS0012,DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Ignore Process Interrupts,"DS0009,DS0017"
Defense Evasion,Hide Artifacts,NTFS File Attributes,"DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Process Argument Spoofing,DS0009
Defense Evasion,Hide Artifacts,Resource Forking,"DS0009,DS0022,DS0017"
Defense Evasion,Hide Artifacts,Run Virtual Instance,"DS0024,DS0019,DS0009,DS0007,DS0022,DS0017"
Defense Evasion,Hide Artifacts,VBA Stomping,"DS0012,DS0022"
Defense Evasion,Hijack Execution Flow,,"DS0024,DS0019,DS0009,DS0011,DS0022,DS0017"
Defense Evasion,Hijack Execution Flow,AppDomainManager,"DS0009,DS0011,DS0022"
Defense Evasion,Hijack Execution Flow,COR_PROFILER,"DS0024,DS0009,DS0011,DS0017"
Defense Evasion,Hijack Execution Flow,DLL,"DS0009,DS0011,DS0022"
Defense Evasion,Hijack Execution Flow,Dylib Hijacking,"DS0011,DS0022"
Defense Evasion,Hijack Execution Flow,Dynamic Linker Hijacking,"DS0009,DS0011,DS0022,DS0017"
Defense Evasion,Hijack Execution Flow,Executable Installer File Permissions Weakness,"DS0019,DS0009,DS0011,DS0022"
Defense Evasion,Hijack Execution Flow,KernelCallbackTable,DS0009
Defense Evasion,Hijack Execution Flow,Path Interception by PATH Environment Variable,"DS0024,DS0009,DS0022"
Defense Evasion,Hijack Execution Flow,Path Interception by Search Order Hijacking,"DS0009,DS0022"
Defense Evasion,Hijack Execution Flow,Path Interception by Unquoted Path,"DS0009,DS0022"
Defense Evasion,Hijack Execution Flow,Services File Permissions Weakness,"DS0019,DS0009,DS0022"
Defense Evasion,Hijack Execution Flow,Services Registry Permissions Weakness,"DS0024,DS0019,DS0009,DS0017"
Defense Evasion,Impair Defenses,,"DS0024,DS0002,DS0019,DS0013,DS0012,DS0009,DS0018,DS0022,DS0027,DS0017,DS0025"
Defense Evasion,Impair Defenses,Disable Windows Event Logging,"DS0024,DS0013,DS0012,DS0009,DS0017,DS0015"
Defense Evasion,Impair Defenses,Disable or Modify Cloud Firewall,DS0018
Defense Evasion,Impair Defenses,Disable or Modify Cloud Logs,"DS0002,DS0025"
Defense Evasion,Impair Defenses,Disable or Modify Linux Audit System,"DS0009,DS0022,DS0017"
Defense Evasion,Impair Defenses,Disable or Modify System Firewall,"DS0024,DS0018,DS0017"
Defense Evasion,Impair Defenses,Disable or Modify Tools,"DS0024,DS0019,DS0013,DS0009,DS0027,DS0017"
Defense Evasion,Impair Defenses,Downgrade Attack,"DS0009,DS0017"
Defense Evasion,Impair Defenses,Impair Command History Logging,"DS0013,DS0017"
Defense Evasion,Impair Defenses,Indicator Blocking,"DS0024,DS0013,DS0009,DS0017"
Defense Evasion,Impair Defenses,Safe Mode Boot,"DS0024,DS0009,DS0017"
Defense Evasion,Impair Defenses,Spoof Security Alerting,"DS0013,DS0009"
Defense Evasion,Impersonation,,DS0015
Defense Evasion,Indicator Removal,,"DS0024,DS0002,DS0003,DS0009,DS0029,DS0018,DS0022,DS0017,DS0015"
Defense Evasion,Indicator Removal,Clear Command History,"DS0002,DS0009,DS0022,DS0017"
Defense Evasion,Indicator Removal,Clear Linux or Mac System Logs,"DS0022,DS0017"
Defense Evasion,Indicator Removal,Clear Mailbox Data,"DS0009,DS0022,DS0017,DS0015"
Defense Evasion,Indicator Removal,Clear Network Connection History and Configurations,"DS0024,DS0009,DS0018,DS0022,DS0017"
Defense Evasion,Indicator Removal,Clear Persistence,"DS0024,DS0002,DS0003,DS0009,DS0022,DS0017"
Defense Evasion,Indicator Removal,Clear Windows Event Logs,"DS0009,DS0022,DS0017"
Defense Evasion,Indicator Removal,File Deletion,"DS0022,DS0017"
Defense Evasion,Indicator Removal,Network Share Connection Removal,"DS0002,DS0009,DS0029,DS0017"
Defense Evasion,Indicator Removal,Relocate Malware,DS0022
Defense Evasion,Indicator Removal,Timestomp,"DS0009,DS0022,DS0017"
Defense Evasion,Indirect Command Execution,,"DS0009,DS0017"
Defense Evasion,Masquerading,,"DS0002,DS0019,DS0003,DS0009,DS0007,DS0022,DS0017"
Defense Evasion,Masquerading,Break Process Trees,DS0009
Defense Evasion,Masquerading,Double File Extension,DS0022
Defense Evasion,Masquerading,Invalid Code Signature,DS0022
Defense Evasion,Masquerading,Masquerade Account Name,DS0002
Defense Evasion,Masquerading,Masquerade File Type,"DS0022,DS0017"
Defense Evasion,Masquerading,Masquerade Task or Service,"DS0019,DS0003,DS0017"
Defense Evasion,Masquerading,Match Legitimate Resource Name or Location,"DS0009,DS0007,DS0022"
Defense Evasion,Masquerading,Overwrite Process Arguments,DS0009
Defense Evasion,Masquerading,Rename Legitimate Utilities,"DS0009,DS0022,DS0017"
Defense Evasion,Masquerading,Right-to-Left Override,DS0022
Defense Evasion,Masquerading,Space after Filename,DS0022
Defense Evasion,Modify Cloud Compute Infrastructure,,"DS0034,DS0020,DS0030,DS0025"
Defense Evasion,Modify Cloud Compute Infrastructure,Create Cloud Instance,DS0030
Defense Evasion,Modify Cloud Compute Infrastructure,Create Snapshot,DS0020
Defense Evasion,Modify Cloud Compute Infrastructure,Delete Cloud Instance,DS0030
Defense Evasion,Modify Cloud Compute Infrastructure,Modify Cloud Compute Configurations,DS0025
Defense Evasion,Modify Cloud Compute Infrastructure,Revert Cloud Instance,DS0030
Defense Evasion,Modify Cloud Resource Hierarchy,,DS0025
Defense Evasion,Modify Registry,,"DS0024,DS0009,DS0029,DS0017"
Defense Evasion,Modify System Image,,DS0022
Defense Evasion,Modify System Image,Downgrade System Image,DS0022
Defense Evasion,Modify System Image,Patch System Image,DS0022
Defense Evasion,Network Boundary Bridging,,DS0029
Defense Evasion,Network Boundary Bridging,Network Address Translation Traversal,DS0029
Defense Evasion,Obfuscated Files or Information,,"DS0005,DS0024,DS0012,DS0009,DS0011,DS0022,DS0017,DS0015"
Defense Evasion,Obfuscated Files or Information,Binary Padding,DS0022
Defense Evasion,Obfuscated Files or Information,Command Obfuscation,"DS0012,DS0022,DS0017"
Defense Evasion,Obfuscated Files or Information,Compile After Delivery,"DS0009,DS0022,DS0017"
Defense Evasion,Obfuscated Files or Information,Compression,DS0022
Defense Evasion,Obfuscated Files or Information,Dynamic API Resolution,"DS0009,DS0011,DS0022"
Defense Evasion,Obfuscated Files or Information,Embedded Payloads,DS0022
Defense Evasion,Obfuscated Files or Information,Encrypted/Encoded File,DS0022
Defense Evasion,Obfuscated Files or Information,Fileless Storage,"DS0005,DS0024,DS0009"
Defense Evasion,Obfuscated Files or Information,HTML Smuggling,DS0022
Defense Evasion,Obfuscated Files or Information,Indicator Removal from Tools,DS0015
Defense Evasion,Obfuscated Files or Information,Junk Code Insertion,DS0022
Defense Evasion,Obfuscated Files or Information,LNK Icon Smuggling,DS0022
Defense Evasion,Obfuscated Files or Information,Polymorphic Code,"DS0022,DS0015"
Defense Evasion,Obfuscated Files or Information,SVG Smuggling,DS0022
Defense Evasion,Obfuscated Files or Information,Software Packing,DS0022
Defense Evasion,Obfuscated Files or Information,Steganography,DS0022
Defense Evasion,Obfuscated Files or Information,Stripped Payloads,DS0022
Defense Evasion,Plist File Modification,,"DS0009,DS0022,DS0017"
Defense Evasion,Pre-OS Boot,,"DS0009,DS0029,DS0001,DS0022,DS0027,DS0016,DS0017"
Defense Evasion,Pre-OS Boot,Bootkit,"DS0022,DS0016"
Defense Evasion,Pre-OS Boot,Component Firmware,"DS0009,DS0001,DS0027"
Defense Evasion,Pre-OS Boot,ROMMONkit,DS0001
Defense Evasion,Pre-OS Boot,System Firmware,DS0001
Defense Evasion,Pre-OS Boot,TFTP Boot,"DS0029,DS0001,DS0017"
Defense Evasion,Process Injection,,"DS0009,DS0011,DS0022"
Defense Evasion,Process Injection,Asynchronous Procedure Call,DS0009
Defense Evasion,Process Injection,Dynamic-link Library Injection,"DS0009,DS0011"
Defense Evasion,Process Injection,Extra Window Memory Injection,DS0009
Defense Evasion,Process Injection,ListPlanting,DS0009
Defense Evasion,Process Injection,Portable Executable Injection,DS0009
Defense Evasion,Process Injection,Proc Memory,DS0022
Defense Evasion,Process Injection,Process Doppelgänging,"DS0009,DS0022"
Defense Evasion,Process Injection,Process Hollowing,DS0009
Defense Evasion,Process Injection,Ptrace System Calls,DS0009
Defense Evasion,Process Injection,Thread Execution Hijacking,DS0009
Defense Evasion,Process Injection,Thread Local Storage,DS0009
Defense Evasion,Process Injection,VDSO Hijacking,"DS0009,DS0011"
Defense Evasion,Reflective Code Loading,,"DS0012,DS0009,DS0011"
Defense Evasion,Rogue Domain Controller,,"DS0002,DS0029,DS0026"
Defense Evasion,Rootkit,,"DS0001,DS0022,DS0016"
Defense Evasion,Subvert Trust Controls,,"DS0024,DS0009,DS0011,DS0022,DS0017"
Defense Evasion,Subvert Trust Controls,Code Signing,DS0022
Defense Evasion,Subvert Trust Controls,Code Signing Policy Modification,"DS0024,DS0009,DS0017"
Defense Evasion,Subvert Trust Controls,Gatekeeper Bypass,"DS0009,DS0022,DS0017"
Defense Evasion,Subvert Trust Controls,Install Root Certificate,"DS0024,DS0009,DS0017"
Defense Evasion,Subvert Trust Controls,Mark-of-the-Web Bypass,DS0022
Defense Evasion,Subvert Trust Controls,SIP and Trust Provider Hijacking,"DS0024,DS0011,DS0022"
Defense Evasion,System Binary Proxy Execution,,"DS0024,DS0009,DS0029,DS0011,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,CMSTP,"DS0009,DS0029,DS0017"
Defense Evasion,System Binary Proxy Execution,Compiled HTML File,"DS0009,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,Control Panel,"DS0024,DS0009,DS0011,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,Electron Applications,"DS0009,DS0017"
Defense Evasion,System Binary Proxy Execution,InstallUtil,"DS0009,DS0017"
Defense Evasion,System Binary Proxy Execution,MMC,"DS0009,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,Mavinject,"DS0009,DS0017"
Defense Evasion,System Binary Proxy Execution,Mshta,"DS0009,DS0029,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,Msiexec,"DS0009,DS0029,DS0011,DS0017"
Defense Evasion,System Binary Proxy Execution,Odbcconf,"DS0009,DS0011,DS0017"
Defense Evasion,System Binary Proxy Execution,Regsvcs/Regasm,"DS0009,DS0017"
Defense Evasion,System Binary Proxy Execution,Regsvr32,"DS0009,DS0029,DS0011,DS0017"
Defense Evasion,System Binary Proxy Execution,Rundll32,"DS0009,DS0011,DS0022,DS0017"
Defense Evasion,System Binary Proxy Execution,Verclsid,"DS0009,DS0017"
Defense Evasion,System Script Proxy Execution,,"DS0012,DS0009,DS0017"
Defense Evasion,System Script Proxy Execution,PubPrn,"DS0012,DS0009,DS0017"
Defense Evasion,System Script Proxy Execution,SyncAppvPublishingServer,"DS0012,DS0009,DS0017"
Defense Evasion,Template Injection,,"DS0009,DS0029"
Defense Evasion,Trusted Developer Utilities Proxy Execution,,"DS0009,DS0011,DS0017"
Defense Evasion,Trusted Developer Utilities Proxy Execution,ClickOnce,"DS0009,DS0011,DS0017"
Defense Evasion,Trusted Developer Utilities Proxy Execution,JamPlus,DS0009
Defense Evasion,Trusted Developer Utilities Proxy Execution,MSBuild,"DS0009,DS0017"
Defense Evasion,Unused/Unsupported Cloud Regions,,DS0030
Defense Evasion,Valid Accounts,,"DS0002,DS0028"
Defense Evasion,Valid Accounts,Cloud Accounts,"DS0002,DS0028"
Defense Evasion,Valid Accounts,Default Accounts,"DS0002,DS0028"
Defense Evasion,Valid Accounts,Domain Accounts,"DS0002,DS0028"
Defense Evasion,Valid Accounts,Local Accounts,"DS0002,DS0028"
Defense Evasion,Weaken Encryption,,DS0022
Defense Evasion,Weaken Encryption,Disable Crypto Hardware,DS0022
Defense Evasion,Weaken Encryption,Reduce Key Space,DS0022
Defense Evasion,XSL Script Processing,,"DS0009,DS0011"
Discovery,Account Discovery,,"DS0009,DS0022,DS0017"
Discovery,Account Discovery,Cloud Account,DS0017
Discovery,Account Discovery,Domain Account,"DS0009,DS0029,DS0036,DS0017"
Discovery,Account Discovery,Email Account,"DS0009,DS0017"
Discovery,Account Discovery,Local Account,"DS0009,DS0036,DS0022,DS0017"
Discovery,Application Window Discovery,,"DS0009,DS0017"
Discovery,Browser Information Discovery,,"DS0009,DS0022,DS0017"
Discovery,Cloud Infrastructure Discovery,,"DS0034,DS0020,DS0030,DS0010"
Discovery,Cloud Service Dashboard,,"DS0002,DS0028"
Discovery,Cloud Service Discovery,,"DS0028,DS0025"
Discovery,Cloud Storage Object Discovery,,DS0010
Discovery,Container and Resource Discovery,,"DS0014,DS0032"
Discovery,Debugger Evasion,,"DS0009,DS0017,DS0015"
Discovery,Device Driver Discovery,,"DS0024,DS0009,DS0017"
Discovery,Domain Trust Discovery,,"DS0012,DS0009,DS0029,DS0017"
Discovery,File and Directory Discovery,,"DS0009,DS0017"
Discovery,Group Policy Discovery,,"DS0012,DS0009,DS0029,DS0017,DS0026"
Discovery,Log Enumeration,,"DS0009,DS0022,DS0017"
Discovery,Network Service Discovery,,"DS0029,DS0017,DS0025"
Discovery,Network Share Discovery,,"DS0009,DS0017"
Discovery,Network Sniffing,,"DS0009,DS0017"
Discovery,Password Policy Discovery,,"DS0002,DS0009,DS0017"
Discovery,Peripheral Device Discovery,,"DS0009,DS0017"
Discovery,Permission Groups Discovery,,"DS0009,DS0036,DS0017,DS0015"
Discovery,Permission Groups Discovery,Cloud Groups,"DS0009,DS0036,DS0017,DS0015"
Discovery,Permission Groups Discovery,Domain Groups,"DS0009,DS0036,DS0017"
Discovery,Permission Groups Discovery,Local Groups,"DS0009,DS0036,DS0017"
Discovery,Process Discovery,,"DS0009,DS0017"
Discovery,Query Registry,,"DS0024,DS0009,DS0017"
Discovery,Remote System Discovery,,"DS0009,DS0029,DS0022,DS0017"
Discovery,Software Discovery,,"DS0009,DS0018,DS0017"
Discovery,Software Discovery,Security Software Discovery,"DS0009,DS0018,DS0017"
Discovery,System Information Discovery,,"DS0009,DS0017"
Discovery,System Location Discovery,,"DS0009,DS0017"
Discovery,System Location Discovery,System Language Discovery,"DS0024,DS0009,DS0017"
Discovery,System Network Configuration Discovery,,"DS0012,DS0009,DS0017"
Discovery,System Network Configuration Discovery,Internet Connection Discovery,"DS0009,DS0017"
Discovery,System Network Configuration Discovery,Wi-Fi Discovery,"DS0009,DS0017"
Discovery,System Network Connections Discovery,,"DS0009,DS0017"
Discovery,System Owner/User Discovery,,"DS0024,DS0009,DS0029,DS0022,DS0017,DS0026"
Discovery,System Service Discovery,,"DS0009,DS0017"
Discovery,System Time Discovery,,"DS0009,DS0017"
Discovery,Virtual Machine Discovery,,DS0017
Discovery,Virtualization/Sandbox Evasion,,"DS0009,DS0017"
Discovery,Virtualization/Sandbox Evasion,System Checks,"DS0009,DS0017"
Discovery,Virtualization/Sandbox Evasion,Time Based Evasion,"DS0009,DS0017"
Discovery,Virtualization/Sandbox Evasion,User Activity Based Checks,"DS0009,DS0017"
Execution,Cloud Administration Command,,"DS0012,DS0009,DS0017"
